ARTIST_ID,ARTIST_MDA,START_LETTER
16015,"Caro, Antonio",C
865,"Caro, Sir Anthony",C
866,"Carr, Thomas",C
867,"Carrière, Eugène",C
868,"Carrington, Dora",C
7615,"Carrington, Leonora",C
869,"Carter, B.A.R.",C
85,"Carter, Hugh",C
7079,"Carter, Nathan",C
86,"Carter, Samuel John",C
870,"Carter, William",C
2729,"Cartier-Bresson, Henri",C
2484,"Carwitham, Thomas",C
2105,"Casas, Juan Vila",C
4624,"Casebere, James",C
871,"Cast, Jesse Dale",C
87,"Cattermole, George",C
873,"Caulfield, Patrick",C
874,"Cazin, Jean-Charles",C
875,"Cazin, Marie",C
876,"Celic, Stojan",C
877,"Celice, Pierre",C
2731,"Celmins, Vija",C
878,César,C
879,"Cézanne, Paul",C
2253,"Chadwick, Helen",C
880,"Chadwick, Lynn",C
881,"Chagall, Marc",C
882,"Chaimowicz, Marc Camille",C
883,"Challenger, Michael",C
88,"Chalon, Henry Bernard",C
884,"Chamberlain, Christopher",C
885,"Chamberlain, John",C
89,"Chambers, George",C
16108,"Chanarin, Oliver",C
2340,"Chandler, J.W.",C
886,"Chandra, Avinash",C
887,"Chaney, Israel",C
11556,"Channer, Alice",C
90,"Chantrey, Sir Francis Legatt",C
888,"Chaplin, Bob",C
4335,"Chapman, Dinos",C
2614,"Chapman, Jake",C
889,"Chappell, William",C
890,"Charbonneau, Monique",C
91,"Charles, James",C
891,"Charlton, Alan",C
2390,"Charlton, Evan",C
892,"Charlton, George",C
893,"Charnay, Armand",C
894,"Charoux, Siegfried",C
2346,"Chase, William",C
2222,"Chatelain, Jean Baptiste Claude",C
11461,"Chaves, Raimond",C
895,"Cheese, Bernard",C
896,"Cheese, Chloe",C
7298,"Chen, Zhen",C
15351,"Chernysheva, Olga",C
94,"Chéron, Louis",C
897,"Cheston, Charles",C
898,"Cheston, Evelyn",C
12108,"Chetwynd, Spartacus",C
899,"Chia, Sandro",C
900,"Chighine, Alfredo",C
901,"Chillida, Eduardo",C
2743,Chinese School 18th century,C
92,"Chinnery, George",C
3151,"Chodzko, Adam",C
14735,"Choucair, Saloua Raouda",C
903,"Chowne, Gerard",C
904,"Christie, John",C
905,Christo,C
907,"Churchill, Sir Winston",C
93,"Churchyard, Thomas",C
908,"Ciardi, Emma",C
12556,"Cidade, Marcelo",C
3086,"Cinicolo, Donato",C
2485,"Cipriani, Giovanni Battista",C
4599,"City Racing (Matt Hale; Paul Noble, born 1963; John Burgess; Keith Coventry, born 1958; Peter Owen)",C
909,"Ciuha, Joze",C
95,"Clark, Joseph",C
910,"Clark, Judy",C
7714,"Clark, Lygia",C
914,"Clarke Hall, Lady Edna",C
911,"Clarke, Brian",C
912,"Clarke, Geoffrey",C
913,"Clarke, Graham",C
915,"Clatworthy, Robert",C
96,"Clausen, Sir George",C
916,"Clavé, Antoni",C
9805,"Claydon, Steven",C
10518,"Cleijne, Edgar",C
917,"Clemente, Francesco",C
918,"Clemente, Jack",C
2230,"Clennell, Luke",C
2261,"Cleyn, Francis",C
97,"Clint, Alfred",C
98,"Clint, George",C
919,"Clinton, Margery",C
920,"Close, Chuck",C
8659,"Closterman, John",C
921,"Clough, Prunella",C
15549,"Cluett, Shelagh",C
922,"Coates, George",C
923,"Cockram, George",C
924,"Cohen, Bernard",C
925,"Cohen, Harold",C
16113,"Cohen, Lynne",C
926,"Coker, Peter",C
927,"Coldstream, Sir William",C
2688,"Coldwell, Paul",C
99,"Cole, George Vicat",C
2629,"Cole, T",C
2375,"Coleman, James",C
928,"Colescott, Warrington",C
929,"Colla, Ettore",C
16339,"Collein, Edmund",C
2418,"Collet, John",C
12039,"Collier, Anne",C
100,"Collier, Edward",C
101,"Collier, The Hon. John",C
102,"Collier, Thomas",C
2486,"Collings, Samuel",C
930,"Collins, Cecil",C
103,"Collins, Charles",C
104,"Collins, Charles Allston",C
2405,"Collins, Elisabeth",C
2363,"Collins, Hannah",C
5468,"Collins, Phil",C
105,"Collins, William",C
2214,"Collinson, James",C
2588,"Collishaw, Mat",C
106,"Colman, Samuel",C
16205,"Colone, Adam de",C
931,"Colquhoun, Ithell",C
932,"Colquhoun, Robert",C
933,"Colton, William Robert",C
2270,"Colverson, Ian",C
13197,"Colvin, Calum",C
934,"Conder, Charles",C
935,"Connard, Philip",C
936,"Consagra, Pietro",C
16340,"Consemüller, Erich",C
107,"Constable, George",C
108,"Constable, John",C
109,"Constable, Lionel Bicknell",C
937,Constant,C
938,"Cook, Barrie",C
9357,"Cook, Richard",C
2487,"Cook, William, of Plymouth",C
110,"Cooke, Edward William",C
2603,"Cooke, Jean",C
6788,"Cooke, Nigel",C
111,"Cooper, Abraham",C
939,"Cooper, Austin",C
2563,"Cooper, George",C
940,"Cooper, Gerald",C
2419,"Cooper, Richard, Junior",C
3807,"Cooper, Samuel",C
4744,"Cooper, Thomas Joshua",C
112,"Cooper, Thomas Sidney",C
2353,"Coplans, John",C
113,"Copley, John Singleton",C
941,"Copley, William N.",C
15617,"Coppola, Horacio",C
114,"Corbet, Matthew Ridley",C
2488,"Corbould, Richard",C
2392,"Cordell, Magda",C
942,"Cordery, Don",C
943,"Corinth, Lovis",C
944,"Corker, Douglas",C
945,"Corneille, Guillaume",C
946,"Cornell, Joseph",C
2315,"Cosway, Richard",C
115,"Cotes, Francis",C
2710,"Cotman, John Joseph",C
116,"Cotman, John Sell",C
2489,"Cotman, Miles Edmund",C
947,"Cottingham, Robert",C
948,"Couderc, Gabriel",C
6245,"Coventry, Keith",C
949,"Cowie, James",C
950,"Cowper, Frank Cadogan",C
117,"Cox, David",C
951,"Cox, Stephen",C
952,"Coxon, Raymond",C
118,"Cozens, Alexander",C
119,"Cozens, John Robert",C
2291,"Cradock, Marmaduke",C
953,"Cragg, Tony",C
954,"Craig, Frank",C
955,"Craig-Martin, Michael",C
120,"Cranch, John",C
121,"Crane, Walter",C
956,"Crawford, Susan",C
957,"Crawhall, Joseph",C
958,"Craxton, John",C
959,"Cree, Janet",C
2760,"Creed, Martin",C
2262,"Creffield, Dennis",C
122,"Creswick, Thomas",C
960,"Crippa, Roberto",C
11952,"Crisp, Fiona",C
123,"Cristall, Joshua",C
961,"Critchlow, Keith",C
126,"Crome, John",C
125,"Crome, John Berney",C
2357,"Cross, Dorothy",C
2490,"Crotch, Dr William",C
962,"Crotti, Jean",C
2420,"Crowe, Eyre",C
17450,"Crozier, William",C
127,"Cruikshank, George",C
963,"Crutchfield, William",C
964,"Cruz-Diez, Carlos",C
13142,"Cruzvillegas, Abraham",C
2215,"Cucchi, Enzo",C
11699,"Cuevas, Minerva",C
2421,"Cuitt, George, Junior",C
965,"Cuixart, Modestos",C
12042,"Cullen, Martin",C
128,"Cumberland, George",C
966,"Cundall, Charles",C
967,"Cundell, Nora L.M.",C
8786,"Cunha, Alexandre da",C
11820,"Curlet, François",C
968,"Currie, John S.",C
7462,"Currie, Ken",C
2694,"Currin, John",C
2736,"Curtis, Layla",C
969,"Cutts, Simon",C
14581,"Cytter, Keren",C
2636,"Dacre, Lady",D
14983,Dadamaino,D
129,"Dadd, Frank",D
130,"Dadd, Richard",D
970,"Daglish, Peter",D
2292,"Dahl, Michael",D
971,"Dalí, Salvador",D
131,"Dall, Nicholas Thomas",D
973,"Dalou, Jules",D
2422,"Dalton, Richard",D
4611,"Dalwood, Dexter",D
974,"Dalwood, Hubert",D
133,"Dalziel, Edward",D
132,"Dalziel, Edward Gurden",D
134,"Dalziel, Thomas",D
2553,"Damer, Anne Seymour",D
135,"Danby, Francis",D
2423,"Dance, George",D
136,"Dance-Holland, Sir Nathaniel",D
137,"Daniell, Thomas",D
138,"Daniell, William",D
975,"Daniels, Harvey",D
7349,"Daniëls, René",D
12114,"Dant, Adam",D
976,"Darboven, Hanne",D
2241,"D'Arcangelo, Allan",D
2267,"Davenport, Ian",D
2295,"Davey, Grenville",D
14881,"Davey, Moyra",D
978,"David, Allen",D
8314,"David, Enrico",D
13353,"Davidson, Bruce",D
979,"Davie, Alan",D
980,"Davies, John",D
2667,"Davies, Peter",D
2491,"Davis, Edward Thompson, of Worcester",D
981,"Davis, Gene",D
139,"Davis, Henry William Banks",D
140,"Davis, John Scarlett",D
2285,"Davis, Lady",D
982,"Davis, Ron",D
2381,"Davis, Stuart",D
141,"Davis, William",D
983,"Davison, Francis",D
142,"Dawe, George",D
984,"Daws, Lawrence",D
143,"Dayes, Edward",D
734,"De Belleroche, Count Albert",D
902,"De Chirico, Giorgio",D
985,"De Francia, Peter",D
2192,"De Glehn, Wilfred Gabriel",D
1219,"De Grey, Sir Roger",D
1385,"De Karlowska, Stanislawa",D
145,"De Loutherbourg, Philip James",D
1556,"De Maistre, Roy",D
2354,"De Monchaux, Cathy",D
1850,"De Rivera, José",D
148,"De Wint, Peter",D
2492,"Deacon, James",D
986,"Deacon, Richard",D
987,"Dean, Catherine",D
2675,"Dean, Tacita",D
2282,"Deeble, W.",D
988,"Degas, Edgar",D
989,"Dehn, Adolf",D
990,"Dekkers, Ad",D
14771,"Delahaye, Luc",D
144,"Delamotte, William Alfred",D
991,"DeLap, Tony",D
992,"Delaunay, Robert",D
993,"Delaunay, Sonia",D
3034,"Deller, Jeremy",D
994,"Delvaux, Paul",D
2641,"Demand, Thomas",D
995,"Demnig, Gunter",D
2493,"Denham, John Charles",D
5669,"Deni, Viktor",D
2598,"Denis, Dominic",D
2647,"Denner, Balthasar",D
2294,"Dennis, Jeffrey",D
997,"Denny, Robyn",D
2242,"Dentith, Henry",D
998,"Derain, André",D
146,"Des Granges, David",D
999,"Desnoyer, François",D
1000,"Despiau, Charles",D
1001,"Devas, Anthony",D
147,"Deverell, Walter Howell",D
2223,"Devis, Anthony",D
2799,"Devis, Arthur",D
2542,"Devoto, John",D
6327,"di Suvero, Mark",d
6218,"Diaz Morales, Sebastian",D
1002,"Dibbets, Jan",D
1003,"Dick, Sir William Reid",D
2645,"Dickenson, Mark",D
149,"Dicksee, Sir Frank",D
1004,"Diebenkorn, Richard",D
12631,"Dietman, Erik",D
150,"Dighton, William Edward",D
2666,"Dijkstra, Rineke",D
1005,"Dillon, Michael",D
1006,"Dilworth, Norman",D
1007,"Dimitrienko, Pierre",D
1008,"Dimitrijevic, Braco",D
1009,"Dine, Jim",D
1010,"Dinkel, Ernest M.",D
2789,"Dion, Mark",D
1011,"Disler, Martin",D
1012,"Dismorr, Jessica",D
6758,"Dittborn, Eugenio",D
1013,"Dixon, Harry",D
151,"Dixon, William",D
1014,"Dobson, Frank",D
153,"Dobson, William",D
152,"Dobson, William Charles Thomas",D
1015,"Dodd, Francis",D
1016,"Dodgson, John",D
1017,"Doesburg, Theo van",D
2732,"Doherty, Willie",D
2361,"Doig, Peter",D
1018,"Domjan, Joseph",D
1019,"Donagh, Rita",D
154,"Donaldson, Andrew Brown",D
