id,accession_number,artist,artistId,title,dateText,creditLine,year,dimensions,width,height,depth,units,inscription,thumbnailUrl
95936,AR00343,"Ryman, Robert",1888,"Untitled, Bruxelles",1974,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1974,"support, each: 536 x 536 mm",each:,536,536,mm,,http://www.tate.org.uk/art/images/work/AR/AR00343_8.jpg
98380,AR00344,"Richter, Gerhard",1841,Brigid Polk (305),1971,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1971,support: 1750 x 1752 x 28 mm,1750,1752,28,mm,date inscribed,http://www.tate.org.uk/art/images/work/AR/AR00344_8.jpg
98381,AR00345,"Richter, Gerhard",1841,"Gilbert, George (381-1, 381-2)",1975,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1975,"support, each: 684 x 631 x 45 mm",,,,,date inscribed,http://www.tate.org.uk/art/images/work/AR/AR00345_8.jpg
98383,AR00346,"Richter, Gerhard",1841,Untitled,1985,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1985,support: 592 x 853 mm,592,853,,mm,date inscribed,http://www.tate.org.uk/art/images/work/AR/AR00346_8.jpg
93173,AR00347,"Woodman, Francesca",10512,Untitled,1975-80,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1975,image: 109 x 109 mm,109,109,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00347_8.jpg
93174,AR00348,"Woodman, Francesca",10512,"Eel Series, Roma, May 1977 - August 1978",1977-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,image: 219 x 218 mm,219,218,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00348_8.jpg
93175,AR00349,"Woodman, Francesca",10512,"Space², Providence, Rhode Island, 1975-1978",1975-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1975,image: 139 x 139 mm,139,139,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00349_8.jpg
93176,AR00350,"Woodman, Francesca",10512,"Space², Providence, Rhode Island, 1975-1978",1975-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1975,image: 140 x 140 mm,140,140,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00350_8.jpg
93177,AR00351,"Woodman, Francesca",10512,Untitled,1975-80,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1975,image: 141 x 140 mm,141,140,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00351_8.jpg
93178,AR00352,"Woodman, Francesca",10512,"Providence, Rhode Island, 1976",1976,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1976,image: 143 x 144 mm,143,144,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00352_8.jpg
93179,AR00353,"Woodman, Francesca",10512,"Italy, May 1977 - August 1978",1977-8,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,image: 143 x 158 mm,143,158,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00353_8.jpg
93180,AR00354,"Woodman, Francesca",10512,"From Angel Series, Roma, September 1977",1977,"ARTIST ROOMS
Acquired jointly with the National Galleries of Scotland through The d'Offay Donation with assistance from the National Heritage Memorial Fund and the Art Fund 2008",1977,image: 93 x 93 mm,93,93,,mm,,http://www.tate.org.uk/art/images/work/AR/AR00354_8.jpg
