id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,totalWorks
2245,"Blais, Jean-Charles",Male,born 1956,1956,,"Nantes, France",,1
37,"Blake, Benjamin",Male,c.1790-c.1830,,,,,1
762,"Blake, John",Male,born 1945,1945,,"Rhode Island, United States",,2
763,"Blake, Peter",Male,born 1932,1932,,"Dartford, United Kingdom",,35
38,"Blake, Robert",Male,1762-1787,1762,1787,"London, United Kingdom","London, United Kingdom",4
39,"Blake, William",Male,1757-1827,1757,1827,"London, United Kingdom","London, United Kingdom",183
764,"Blamey, Norman",Male,1914-2000,1914,,"London, United Kingdom",,4
765,"Blanche, Jacques-Emile",Male,1861-1942,1861,1942,Auteuil,"Paris, France",8
766,"Bland, Beatrice",Female,1864-1951,1864,1951,"Lincolnshire, United Kingdom","London, United Kingdom",2
767,"Blaymires, Charles Henry",Male,1908-c.1970s,,,,,1
2759,"Bleckner, Ross",Male,born 1949,1949,,"New York, United States",,1
3652,"Blees Luxemburg, Rut",Female,born 1967,1967,,Deutschland,,3
768,"Bliss, Douglas Percy",Male,1900-1984,1900,,"Karachi, Pakistan",,1
769,"Bloch, Martin",Male,1883-1954,1883,1954,Schlesien,"London, United Kingdom",4
13711,"Blom, Ansuya",Female,born 1956,1956,,"Groningen, Nederland",,2
2229,"Blore, Edward",Male,1789-1879,1789,1879,"Stamford, United Kingdom","London, United Kingdom",2
770,"Blow, Sandra",Female,1925-2006,1925,,"London, United Kingdom",,4
13048,"Bo, Hou",Female,born 1924,1924,,Zhonghua,,1
771,"Boccioni, Umberto",Male,1882-1916,1882,1916,"Reggio di Calabria, Italia","Veneto, Italia",1
772,"Bochner, Mel",Male,born 1940,1940,,"Pittsburgh, United States",,3
773,"Bock, Théophile de",Male,1851-1904,1851,1904,"s Gravenhage, Nederland","Haarlem, Nederland",1
774,"Boden, Neville",Male,1929-1996,1929,,South Africa,,1
40,"Boehm, Sir Joseph Edgar",Male,1834-1890,1834,1890,"Wien, Österreich","London, United Kingdom",2
7713,"Boetti, Alighiero",Male,1940-1994,1940,,"Torino, Italia",,1
9822,"Bohm, Dorothy",Female,born 1924,1924,,"Chojna, Polska",,1
775,"Boisvert, Gilles",Male,born 1940,1940,,"Québec, Canada",,1
2740,"Boitard, Louis Philippe",Male,active 1734-1760,1734,,France,,2
2305,"Boltanski, Christian",Male,born 1944,1944,,"Paris, France",,1
